Resourceprovider,Resourcetypename,Resourcetype,Resourcegroup,Subscription,,,,,,,,,
Microsoft.DataFactory,factories,Microsoft.DataFactory/factories,Yes,Yes,,,,,,,,,
Microsoft.DataLake,datalakeaccounts,Microsoft.DataLake/datalakeaccounts,No,No,,,,,,,,,
Microsoft.DataLakeAnalytics,accounts,Microsoft.DataLakeAnalytics/accounts,Yes,Yes,,,,,,,,,
Microsoft.DataLakeStore,accounts,Microsoft.DataLakeStore/accounts,Yes,Yes,,,,,,,,,
Microsoft.DataMigration,services,Microsoft.DataMigration/services,No,No,,,,,,,,,
Microsoft.DataMigration,services/projects,Microsoft.DataMigration/services/projects,No,No,,,,,,,,,
Microsoft.DataMigration,slots,Microsoft.DataMigration/slots,No,No,,,,,,,,,
Microsoft.DBforMariaDB,servers,Microsoft.DBforMariaDB/servers,No,No,,,,,,,,,
Microsoft.DBforMySQL,servers,Microsoft.DBforMySQL/servers,Yes,Yes,,,,,,,,,
Microsoft.DBforPostgreSQL,servergroups,Microsoft.DBforPostgreSQL/servergroups,No,No,,,,,,,,,
Microsoft.DBforPostgreSQL,servers,Microsoft.DBforPostgreSQL/servers,Yes,Yes,,,,,,,,,
Microsoft.DeploymentManager,artifactsources,Microsoft.DeploymentManager/artifactsources,No,No,,,,,,,,,
Microsoft.DeploymentManager,rollouts,Microsoft.DeploymentManager/rollouts,No,No,,,,,,,,,
Microsoft.DeploymentManager,servicetopologies,Microsoft.DeploymentManager/servicetopologies,No,No,,,,,,,,,
Microsoft.DeploymentManager,servicetopologies/services,Microsoft.DeploymentManager/servicetopologies/services,No,No,,,,,,,,,
Microsoft.DeploymentManager,servicetopologies/services/serviceunits,Microsoft.DeploymentManager/servicetopologies/services/serviceunits,No,No,,,,,,,,,
Microsoft.Devices,iothubs,Microsoft.Devices/iothubs,Yes,Yes,,,,,,,,,
Microsoft.Devices,provisioningservices,Microsoft.Devices/provisioningservices,Yes,Yes,,,,,,,,,
Microsoft.DevTestLab,labcenters,Microsoft.DevTestLab/labcenters,No,No,,,,,,,,,
Microsoft.DevTestLab,labs,Microsoft.DevTestLab/labs,Yes,No,,,,,,,,,
Microsoft.DevTestLab,labs/servicerunners,Microsoft.DevTestLab/labs/servicerunners,Yes,Yes,,,,,,,,,
Microsoft.DevTestLab,labs/virtualmachines,Microsoft.DevTestLab/labs/virtualmachines,Yes,No,,,,,,,,,
Microsoft.DevTestLab,schedules,Microsoft.DevTestLab/schedules,No,No,,,,,,,,,
microsoft.dns,dnszones,microsoft.dns/dnszones,No,No,,,,,,,,,
microsoft.dns,dnszones/a,microsoft.dns/dnszones/a,No,No,,,,,,,,,
microsoft.dns,dnszones/aaaa,microsoft.dns/dnszones/aaaa,No,No,,,,,,,,,
microsoft.dns,dnszones/cname,microsoft.dns/dnszones/cname,No,No,,,,,,,,,
microsoft.dns,dnszones/mx,microsoft.dns/dnszones/mx,No,No,,,,,,,,,
microsoft.dns,dnszones/ptr,microsoft.dns/dnszones/ptr,No,No,,,,,,,,,
microsoft.dns,dnszones/srv,microsoft.dns/dnszones/srv,No,No,,,,,,,,,
microsoft.dns,dnszones/txt,microsoft.dns/dnszones/txt,No,No,,,,,,,,,
microsoft.dns,trafficmanagerprofiles,microsoft.dns/trafficmanagerprofiles,No,No,,,,,,,,,
Microsoft.DocumentDB,databaseaccounts,Microsoft.DocumentDB/databaseaccounts,Yes,Yes,,,,,,,,,
Microsoft.DomainRegistration,domains,Microsoft.DomainRegistration/domains,Yes,Yes,,,,,,,,,
Microsoft.EventGrid,topics,Microsoft.EventGrid/topics,Yes,Yes,,,,,,,,,
Microsoft.EventHub,clusters,Microsoft.EventHub/clusters,Yes,Yes,,,,,,,,,
Microsoft.EventHub,namespaces,Microsoft.EventHub/namespaces,Yes,Yes,,,,,,,,,
Microsoft.HanaOnAzure,hanainstances,Microsoft.HanaOnAzure/hanainstances,Yes,Yes,,,,,,,,,
Microsoft.HardwareSecurityModules,dedicatedhsms,Microsoft.HardwareSecurityModules/dedicatedhsms,No,No,,,,,,,,,
Microsoft.HDInsight,clusters,Microsoft.HDInsight/clusters,Yes,Yes,,,,,,,,,
Microsoft.ImportExport,jobs,Microsoft.ImportExport/jobs,Yes,Yes,,,,,,,,,
microsoft.insights,actiongroups,microsoft.insights/actiongroups,Yes,Yes,,,,,,,,,
microsoft.insights,activitylogalerts,microsoft.insights/activitylogalerts,No,No,,,,,,,,,
microsoft.insights,alertrules,microsoft.insights/alertrules,Yes,Yes,,,,,,,,,
microsoft.insights,autoscalesettings,microsoft.insights/autoscalesettings,Yes,Yes,,,,,,,,,
microsoft.insights,components,microsoft.insights/components,Yes,Yes,,,,,,,,,
microsoft.insights,metricalerts,microsoft.insights/metricalerts,No,No,,,,,,,,,
microsoft.insights,scheduledqueryrules,microsoft.insights/scheduledqueryrules,Yes,Yes,,,,,,,,,
microsoft.insights,webtests,microsoft.insights/webtests,Yes,Yes,,,,,,,,,
microsoft.insights,workbooks,microsoft.insights/workbooks,Yes,Yes,,,,,,,,,
Microsoft.IoTCentral,iotapps,Microsoft.IoTCentral/iotapps,Yes,Yes,,,,,,,,,
Microsoft.KeyVault,vaults,Microsoft.KeyVault/vaults,Yes,Yes,,,,,,,,,
Microsoft.LabServices,labaccounts,Microsoft.LabServices/labaccounts,Yes,Yes,,,,,,,,,
Microsoft.LocationBasedServices,accounts,Microsoft.LocationBasedServices/accounts,Yes,Yes,,,,,,,,,
Microsoft.LocationServices,accounts,Microsoft.LocationServices/accounts,Yes,Yes,,,,,,,,,
Microsoft.Logic,integrationaccounts,Microsoft.Logic/integrationaccounts,Yes,Yes,,,,,,,,,
Microsoft.Logic,workflows,Microsoft.Logic/workflows,Yes,Yes,,,,,,,,,
Microsoft.MachineLearning,commitmentplans,Microsoft.MachineLearning/commitmentplans,Yes,Yes,,,,,,,,,
Microsoft.MachineLearning,webservices,Microsoft.MachineLearning/webservices,Yes,No,,,,,,,,,
Microsoft.MachineLearning,workspaces,Microsoft.MachineLearning/workspaces,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningCompute,operationalizationclusters,Microsoft.MachineLearningCompute/operationalizationclusters,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningExperimentation,accounts,Microsoft.MachineLearningExperimentation/accounts,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningExperimentation,accounts/workspaces,Microsoft.MachineLearningExperimentation/accounts/workspaces,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningExperimentation,accounts/workspaces/projects,Microsoft.MachineLearningExperimentation/accounts/workspaces/projects,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningExperimentation,teamaccounts,Microsoft.MachineLearningExperimentation/teamaccounts,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningExperimentation,teamaccounts/workspaces,Microsoft.MachineLearningExperimentation/teamaccounts/workspaces,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningExperimentation,teamaccounts/workspaces/projects,Microsoft.MachineLearningExperimentation/teamaccounts/workspaces/projects,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningModelManagement,accounts,Microsoft.MachineLearningModelManagement/accounts,Yes,Yes,,,,,,,,,
Microsoft.MachineLearningServices,workspaces,Microsoft.MachineLearningServices/workspaces,Yes,Yes,,,,,,,,,
Microsoft.ManagedIdentity,userassignedidentities,Microsoft.ManagedIdentity/userassignedidentities,Yes,Yes,,,,,,,,,
Microsoft.Maps,accounts,Microsoft.Maps/accounts,Yes,Yes,,,,,,,,,
Microsoft.MarketplaceApps,classicdevservices,Microsoft.MarketplaceApps/classicdevservices,No,No,,,,,,,,,
